A_id,B_id
824,3287
824,1617
827,6808
833,8285
833,4012
836,3645
842,5955
845,9887
848,320
851,8404
851,8284
851,9053
851,1348
851,3331
857,774
857,1909
863,8827
863,8902
863,9465
863,2053
869,2710
872,7620
878,9835
878,5440
878,221
884,3301
884,1366
884,5292
884,5756
884,3073
884,2113
884,5297
884,1751
884,273
884,7240
884,7754
89,320
89,1771
893,8401
893,7795
893,7399
893,8111
893,8199
893,9615
893,2910
893,4156
893,927
899,1108
899,9543
905,2084
911,7145
914,9166
914,7915
914,2280
914,120
917,9669
920,3517
920,2951
920,6178
920,6143
920,8652
920,7855
920,6770
920,7734
926,9860
929,2334
938,8265
938,9296
941,5998
941,2783
947,2408
959,5543
959,1591
962,1146
977,8881
977,4512
98,1930
98,7147
983,1243
983,6235
983,375
983,1587
983,7137
998,9091
0,7182
0,1977
0,1687
0,3850
0,1866
1002,6911
1002,6933
1008,1977
1008,8401
1014,2381
1014,2698
1014,5999
1017,5814
1017,1742
1017,6563
1017,6930
1017,9418
1017,9419
1017,7382
1020,2484
1029,4597
1032,6210
1032,3488
1047,8552
1068,9292
1068,3434
1068,6262
1074,7103
1074,6907
1074,9827
1074,8789
1074,2491
1074,6097
1074,1657
1074,1214
1074,6180
1077,9685
1077,9419
108,9894
108,3906
1080,5295
1089,6563
1089,375
1092,48
1107,5662
1116,3914
1116,9615
1116,8063
1116,8560
1116,8745
1119,9344
1119,7294
1119,8575
1134,3645
1137,9852
1140,9624
1143,5284
1149,5505
1152,9938
1155,5057
1155,6252
1167,8664
1167,5233
1173,7623
1179,4024
1179,5999
1197,150
1203,9364
1209,2466
1209,127
1209,4512
1209,1501
1209,1679
1209,5513
1209,1641
1221,2141
1221,6545
1224,1866
1224,3436
1224,2652
1224,8365
1233,3488
1233,6855
1233,8195
1239,694
1239,4024
1242,5887
1248,8202
1251,7006
1251,8401
1251,6068
1251,1755
1251,1511
1251,2416
1254,5044
1254,1755
1254,7995
1254,7006
1257,1728
1257,5876
1257,6874
1257,7294
1260,2652
1263,2646
1263,5233
1263,1646
1263,4131
1263,4542
1263,1714
1269,3021
1278,6039
1278,6099
1278,8111
1284,3384
1284,8775
129,9419
129,9209
129,2169
1293,519
1305,5002
1308,7034
1308,9381
1308,6466
1308,1727
1308,5233
1308,1591
1308,3884
1308,5756
1308,5377
1308,1864
1308,4972
1308,3717
1314,7795
1332,388
1332,3617
1335,519
1341,2124
1341,6598
1341,5014
1341,320
1341,2516
1341,694
1341,7218
1344,8955
1344,1027
1344,1108
1344,1986
1347,3645
135,5268
135,7487
1350,8496
1350,9335
1350,8630
1350,5710
1350,1775
1350,519
1353,798
1353,3914
1353,6141
1353,7645
1353,8745
1353,7754
1353,9292
1356,9022
1359,842
1371,3922
1371,694
1371,3275
1377,5171
1377,6971
138,9190
1380,2553
1383,1691
1383,5852
1383,975
1383,9022
1383,9456
1395,6530
1395,9687
1401,3636
1407,5002
1407,1895
1407,9022
1410,5251
1410,115
1410,4717
1410,3561
1413,5998
1419,8853
1431,9292
1434,6086
1440,8401
1452,8105
1452,9945
1452,4391
1455,9938
1455,9986
1461,9986
1461,3364
1464,988
1464,7900
1464,8864
147,3645
1473,2184
1476,8498
1476,6097
1476,375
1482,9381
1482,9439
1485,7538
1491,5062
1491,519
1494,3946
1494,6731
150,2652
1500,255
1500,775
1500,972
1500,2141
1500,7348
1500,9485
1500,8356
1503,8059
1506,3623
1506,50
1515,7145
1518,6808
1524,8003
1524,8306
1524,6718
1524,1926
1524,1106
153,9079
1530,811
1530,1971
1530,6942
1530,8412
1533,8745
1533,3914
1545,9364
1554,9166
156,2381
156,3187
156,3929
1560,4989
1569,6526
1569,2124
1572,6808
1572,1909
1572,5014
1572,1107
1575,6363
1581,1728
1584,4414
159,6437
1596,3929
1596,6099
1596,6740
1599,5402
1599,5271
1614,8401
1617,120
162,1018
1626,1971
1626,4932
1626,5388
1626,7145
1629,1322
1632,5952
1632,6569
1635,7892
1638,6946
1641,9805
1641,2439
1641,3909
1644,2336
1644,1230
1644,9292
1644,8827
1644,8059
165,8271
165,6324
165,3587
165,704
1656,5271
1656,143
1671,5205
1671,8636
1671,8955
1674,9624
1674,9163
1677,8504
1701,5047
1701,7868
1707,7055
1707,8307
1707,6395
1707,1891
1710,4993
1710,373
1710,1028
1710,3022
1710,5823
1710,9570
1716,8346
1719,8481
1719,7238
1719,5829
1719,6563
1719,5225
1728,1088
1728,3326
1728,6295
174,5432
174,3184
174,1679
174,5543
174,5684
174,31
174,255
174,2243
174,2169
174,1725
174,6284
174,1986
174,2048
174,2783
174,4771
174,2397
174,1591
174,8785
174,9543
174,8571
174,7348
174,9752
174,9209
174,9675
174,9211
1740,7915
1740,1227
1740,3478
1740,2152
1740,690
1743,2947
1743,575
1743,5746
1743,26
1743,4875
1743,242
1743,1740
1743,1371
1743,8679
1743,6744
1749,700
1752,5090
1752,4512
1752,9552
1755,8111
1755,2123
1755,2019
1755,1725
1755,5307
177,1107
177,6289
1770,3645
1782,5251
1785,8503
1794,4391
1794,1107
1797,1529
1797,6352
1797,1006
1797,3914
1797,4107
1797,7658
1797,8745
180,6216
1800,301
1800,4179
1800,5260
